text_answer_en,text_answer_fr
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
Yes,Oui
No,Non
Exceeded,Dépassé mes attentes
Met,Répondu à mes attentes
Not met,Déçu mes attentes
Likely,Probable
Somewhat likely,Plutôt probable
Somewhat unlikely,Plutôt improbable
Unlikely,Improbable
Valuable,Utiles
Somewhat valuable,Plutôt utiles
Somewhat not valuable,Plutôt inutiles
Not valuable,Inutiles
Did not use tool,N'a pas utilisé les outils
Agree,D'accord
Disagree,En désaccord
Neither agree nor disagree,"Ni d'accord, ni en désaccord"
Strongly agree,Entièrement d'accord
Strongly disagree,Totalement en désaccord
